Object_Id  Timestamp Type Lat Lng 
49 12 point 21.4364677116735 39.8264588699019
34 12 point 21.4802883891213 39.9987967803555
48 12 point 21.5495176250264 39.7769817853932
26 12 point 21.4766699112374 39.796106800288
25 12 point 21.4574587188798 39.8071884736633
24 12 point 21.4296430455173 39.8365514951279
23 12 point 21.460192239882 39.8885557804734
22 12 point 21.3489367786832 39.7952594692795
21 12 point 21.4312297633847 39.8164407654903
20 12 point 21.4005812808912 39.8142328281487
18 12 point 21.3615243263646 39.9672271054482
17 12 point 21.428025927757 39.8344380662729
16 12 point 21.399561138296 39.9145898236094
15 12 point 21.4090308831538 39.8600823425943
14 12 point 21.4322091653864 39.8229141776052
13 12 point 21.4682340462432 39.7994765920479
12 12 point 21.4602547410587 39.887963004773
11 12 point 21.3574695442951 39.8623423847354
44 12 point 21.4700501490303 39.9184157314026
19 12 point 21.3741236712407 39.9227612887599
8 12 point 21.4156930255223 39.8559437185518
7 12 point 21.3909539680429 39.9185739960301
32 12 point 21.4392723252224 39.767830995649
5 12 point 21.4799979487374 39.7870180867332
4 12 point 21.5008667770009 39.7927699069107
3 12 point 21.3433817224505 39.7219493543919
2 12 point 21.4474607801913 39.8622983361609
1 12 point 21.468299448042 39.9033081781429
0 12 point 21.3630438610977 40.1408661764936
60 12 newpoint 21.414441 39.822374
61 12 newpoint 21.671366 39.737665
62 12 newpoint 21.395404 39.876463
63 12 newpoint 21.364022 39.974341
64 12 newpoint 21.356412 39.790775
64 13 point 21.3508200984373 39.788976066427
63 13 point 21.364251254514 39.9694333232189
62 13 point 21.397924328719 39.8827100632807
61 13 point 21.6723729137001 39.7286867075732
60 13 point 21.4064558793811 39.818139495057
59 13 point 21.4528744216452 39.6047857447463
58 13 point 21.4212195619595 39.7795492122709
57 13 point 21.4241877376052 39.8897045091681
56 13 point 21.43838750343 39.8543773260222
55 13 point 21.4134881994597 39.8803060762499
54 13 point 21.4376041843047 39.84697115947
53 13 point 21.4186438449467 39.7804848234872
52 13 point 21.3842210366673 39.8314107424187
51 13 point 21.2320913081937 39.94396823096
50 13 point 21.3477966604218 39.9510753941467
47 13 point 21.3949513735113 39.8679011680443
46 13 point 21.4408849346674 39.8576213297039
45 13 point 21.4399856305508 39.8455186443846
43 13 point 21.4336235527302 39.8180386196557
42 13 point 21.4677622688792 39.9026124776468
41 13 point 21.4223200660513 39.833190336778
40 13 point 21.4462894694078 39.8684607928152
39 13 point 21.4470465417714 39.7632335340891
38 13 point 21.5456208923546 39.9481503363914
37 13 point 21.5160063308288 39.9583865317589
36 13 point 21.4731432736998 39.9083945748426
35 13 point 21.3740834358009 39.8046304490778
31 13 point 21.4126436710143 39.8932836455315
30 13 point 21.4107283359089 39.9038354595187
49 13 point 21.429984002831 39.8284048766565
34 13 point 21.4841266929737 39.9986465028621
48 13 point 21.5407128992471 39.7792952241258
26 13 point 21.4856085424299 39.7943387872109
25 13 point 21.4653769322973 39.8042355840287
24 13 point 21.4305233529016 39.8456150439444
23 13 point 21.4571466010954 39.8800492271238
22 13 point 21.3470387721812 39.7949989386641
21 13 point 21.437750080142 39.8111195020218
20 13 point 21.3931272234174 39.8094618424016
18 13 point 21.3573294806294 39.9752553110891
17 13 point 21.4297645160551 39.8421066761823
16 13 point 21.4068818039517 39.9132949871051
15 13 point 21.4008968799092 39.8641483661412
14 13 point 21.4327341703299 39.8221102984999
13 13 point 21.476535845451 39.796288962698
12 13 point 21.4569611800642 39.8795536689009
11 13 point 21.3589915936716 39.8712467692646
44 13 point 21.4609536671421 39.9179472192247
19 13 point 21.3815173767705 39.9175327922915
8 13 point 21.4079358655879 39.8607213038355
7 13 point 21.3980735792071 39.9133324027225
32 13 point 21.4404419974853 39.7767920082482
5 13 point 21.4861127245365 39.7881041466225
4 13 point 21.5099390795771 39.7919207141411
3 13 point 21.3439102599904 39.712852971566
2 13 point 21.4532335164461 39.8691696535179
1 13 point 21.4656263723672 39.9005454095282
0 13 point 21.3597129308847 40.1323848178569
65 13 newpoint 21.433945 39.837836
66 13 newpoint 21.356932 39.791253
67 13 newpoint 21.428858 39.736198
68 13 newpoint 21.417507 39.831329
69 13 newpoint 21.624566 39.672898
69 14 point 21.6245820504756 39.6738590222261
68 14 point 21.4147475869751 39.837127124124
67 14 point 21.429962036769 39.743300458855
66 14 point 21.3511954884493 39.7889924566699
65 14 point 21.4298500132413 39.8319053889608
64 14 point 21.3487221216444 39.795227968642
63 14 point 21.3622243608475 39.9631451599528
62 14 point 21.4041002183294 39.8881464766238
61 14 point 21.6722370698721 39.7246206777309
60 14 point 21.3995124188113 39.8226792127135
59 14 point 21.4534178397013 39.6138493220607
58 14 point 21.4123990123372 39.7818287808763
57 14 point 21.4194278611034 39.8837420079153
56 14 point 21.4449505117654 39.860274404551
55 14 point 21.4211966402817 39.8850257299056
54 14 point 21.4309416964232 39.8524758423539
53 14 point 21.4254418769787 39.777412959822
52 14 point 21.3883167186461 39.8389345719384
51 14 point 21.241169215682 39.9435908683854
50 14 point 21.3548577684235 39.9563359619366
47 14 point 21.3903211107527 39.8600686240779
46 14 disappearpoint 21.440375 39.861534
45 14 point 21.4385516480811 39.8544619910264
43 14 point 21.4266716984404 39.8134264480736
42 14 point 21.4743812173121 39.9088200621487
41 14 point 21.4173446085211 39.8281346625248
40 14 point 21.450731494857 39.874833652074
39 14 point 21.4555678296184 39.7600237909504
38 14 point 21.5367919876517 39.9504036934956
37 14 point 21.5243762246418 39.9547847747631
36 14 point 21.4678405502903 39.9028262995257
35 14 point 21.3670868498159 39.7996337359469
31 14 point 21.4204512286186 39.897979080892
30 14 point 21.412796754574 39.895441407177
49 14 point 21.4232009718873 39.8328165781336
34 14 point 21.487947117517 39.9990461769058
48 14 point 21.5326000954328 39.78308857635
26 14 point 21.4946408856355 39.7931793024137
25 14 point 21.4711247231706 39.7975536207573
24 14 point 21.4378027484514 39.8471655815887
23 14 point 21.4539344747854 39.8716779457566
22 14 point 21.3453383112371 39.7943951582866
21 14 point 21.4460162417573 39.8089138466205
20 14 point 21.3842679887597 39.8073438691604
18 14 point 21.3526789201219 39.9830867787639
17 14 point 21.4320534741626 39.8508465700119
16 14 point 21.4144390299194 39.9092461425445
15 14 point 21.3939613602507 39.8697434194835
14 14 point 21.4334083354782 39.8214302757191
13 14 point 21.4854744086639 39.7945203083136
12 14 point 21.4539620169457 39.8710873197195
11 14 point 21.3602786595758 39.8802672190396
44 14 point 21.4561615986216 39.9132903216952
19 14 point 21.3854955288359 39.9093522495576
8 14 point 21.3997608404002 39.8647111708778
7 14 disappearpoint 21.398837 39.91385
32 14 point 21.4400529572878 39.7858349876876
5 14 point 21.4938306008951 39.7874729837789
4 14 point 21.5190097285196 39.7910536087485
3 14 point 21.3419445049266 39.7040704207217
2 14 point 21.4556308627635 39.8779228568823
1 14 point 21.4628989254434 39.897837361088
0 14 point 21.3574816080849 40.1235716479776
70 14 newpoint 21.358534 39.795452
71 14 newpoint 21.470334 39.919955
72 14 newpoint 21.394986 39.91451
73 14 newpoint 21.403202 39.792041
74 14 newpoint 21.439383 39.841487
74 15 point 21.435664533613 39.8477985383775
73 15 point 21.4030567975604 39.7927412133416
72 15 point 21.4026976760218 39.9118244854565
71 15 point 21.4775286400342 39.9206365049577
70 15 point 21.3574242819315 39.7965071169104
67 15 point 21.4336575680794 39.7513186555745
66 15 point 21.3494209458377 39.7953305782269
65 15 point 21.4315852297964 39.8246740706596
64 15 point 21.3427906272355 39.7895577099126
63 15 point 21.364729017775 39.9548644052253
62 15 point 21.4119101101096 39.8928397540151
61 15 point 21.6642422858167 39.7202489854587
60 15 point 21.392151475314 39.8256446374129
59 15 point 21.447972526176 39.6208209874303
58 15 point 21.4035257076803 39.7838631446508
57 15 point 21.4126017934274 39.8802127374336
56 15 point 21.4517176272638 39.8663342935555
55 15 point 21.4264842462038 39.8924448510303
54 15 point 21.4229010794427 39.8564899459331
53 15 point 21.431374709253 39.7726157993269
52 15 point 21.3901920803252 39.8477197666974
51 15 point 21.2496199967579 39.9412336025937
50 15 point 21.3615530957083 39.9625153631747
47 15 point 21.3924954158601 39.8550320739389
69 15 point 21.6245981009512 39.6748200444523
45 15 point 21.445225791283 39.8603093507596
43 15 point 21.4230041042092 39.8060637334694
42 15 point 21.4784202699667 39.9169517151334
41 15 point 21.4145462831773 39.8363144273748
40 15 disappearpoint 21.45262 39.87806
39 15 point 21.4599915586666 39.7672907546818
38 15 point 21.5280756566413 39.9530208382825
37 15 point 21.5328929138155 39.9515922346393
36 15 point 21.4624866211739 39.8973150591278
35 15 point 21.3603080333442 39.7936158246803
31 15 point 21.4284445126349 39.9021455420182
30 15 point 21.4169848413974 39.8875501556655
49 15 point 21.4220920088485 39.8416309811235
34 15 point 21.4917231391122 39.9997685408538
48 15 point 21.5251244947725 39.7882985332561
26 15 point 21.5037097399837 39.7922973104517
25 15 point 21.4799961584348 39.7955857780984
24 15 point 21.4385329887682 39.8549375789474
23 15 point 21.4496729712339 39.8640173170019
22 15 point 21.3444528188711 39.7926889377213
21 15 point 21.4550531690311 39.808009648902
20 15 point 21.3755890001608 39.8050017905453
18 15 point 21.34851864761 39.9911805053064
17 15 point 21.4319680672315 39.8598516264379
16 15 point 21.4233150296325 39.9072461180741
15 15 point 21.3862494013485 39.874290270058
14 15 point 21.4340353338409 39.8207186687127
13 15 point 21.4945063174108 39.7933496505932
12 15 point 21.4491735807446 39.863583757737
11 15 point 21.3615985939824 39.8892826887363
44 15 point 21.4539001703708 39.9044976014062
19 15 point 21.3915653640164 39.9029079527653
8 15 point 21.3931757342336 39.8707380551953
68 15 point 21.4146924205898 39.8311942912117
32 15 point 21.4400478416179 39.7946297534812
5 15 disappearpoint 21.498336 39.790098
4 15 disappearpoint 21.519309 39.791025
3 15 point 21.3412995459166 39.6950364942201
2 15 point 21.4596873077359 39.8859951915196
1 15 point 21.4610229868311 39.8945088770871
0 15 point 21.3544753911319 40.1149832116617
75 15 newpoint 21.411206 39.808252
76 15 newpoint 21.369047 39.988216
77 15 newpoint 21.457075 39.903036
78 15 newpoint 21.548592 39.793192
79 15 newpoint 21.487753 39.932595
79 16 point 21.4833490468784 39.9365716372869
78 16 point 21.5512565873727 39.7862908143295
77 16 point 21.4567206926991 39.8969008583066
76 16 point 21.3635226956619 39.9852062959343
75 16 point 21.4140527520086 39.8071344772487
71 16 point 21.4814676295182 39.9264172907563
70 16 point 21.3498167757135 39.7953888979891
67 16 point 21.4374335192894 39.7594605822542
66 16 point 21.343197428073 39.7901246741083
65 16 point 21.4350933725774 39.8168853484079
64 16 disappearpoint 21.334445 39.787585
63 16 point 21.3694561873978 39.9471767798861
62 16 point 21.4197030027968 39.8975617197333
61 16 point 21.6562502766627 39.7158721905489
60 16 point 21.3839512502808 39.8281423905683
59 16 point 21.4413645562007 39.6270795023079
58 16 point 21.3972590122362 39.7900559232739
57 16 point 21.4065339156731 39.8758771394826
56 16 point 21.4546068361388 39.8748802397728
55 16 point 21.4331826062246 39.8985552795596
54 16 point 21.4156803392005 39.8618227177508
53 16 point 21.4368616485977 39.7673299812342
52 16 point 21.3934826716963 39.8546679630967
51 16 point 21.2583987059838 39.9395572725537
50 16 point 21.3639334795415 39.9699267957638
47 16 point 21.3901582320189 39.8481681235842
69 16 point 21.6246141514268 39.6757810666784
45 16 point 21.4519614114544 39.8663989656795
43 16 point 21.4240884011265 39.7973703375883
42 16 point 21.4813393396305 39.9255474388493
41 16 disappearpoint 21.408952 39.842344
74 16 point 21.4294054252494 39.8539211497554
39 16 point 21.4662908776073 39.7735925582887
38 16 point 21.5197185520597 39.9566520973253
37 16 point 21.5417158454831 39.949315708685
36 16 point 21.4604984756104 39.8900482195322
35 16 point 21.3538585409169 39.7872497830222
31 16 point 21.4366690127441 39.9026649745207
30 16 point 21.4198957482768 39.8790787789633
49 16 point 21.4214294191285 39.8507091344733
34 16 point 21.4926936292154 40.0029201507221
48 16 point 21.5167138599189 39.7912730814739
26 16 point 21.5127792463779 39.7914187879841
25 16 point 21.4889581593964 39.7939500576845
24 16 point 21.445422641539 39.8606124119121
23 16 point 21.4424810415929 39.8584555315929
22 16 point 21.3435920898862 39.7909705209094
21 16 point 21.4633999521179 39.8058078620143
20 16 point 21.3680473650735 39.8008511220677
18 16 point 21.3428883644004 39.9970012825399
17 16 point 21.4272356440821 39.8675980732449
16 16 point 21.4320050836588 39.9045061641918
15 16 point 21.3776610613486 39.8773032922645
14 16 point 21.4344644127296 39.8199097430326
13 16 point 21.5035806007011 39.7925237983999
12 16 point 21.4419093337942 39.8581230940951
11 16 point 21.3617975286222 39.8982716943653
44 16 point 21.452815234831 39.8982895721237
19 16 point 21.3922409433364 39.8964469595786
8 16 point 21.3850416918992 39.8746759808371
68 16 point 21.4122188129197 39.8273450070205
32 16 point 21.4410168969658 39.8036649217473
73 16 point 21.4033410550036 39.7934060544999
72 16 point 21.4089711750981 39.9053976352782
3 16 point 21.3398242112642 39.6860774931303
2 16 point 21.4610372292872 39.8949694502196
1 16 point 21.4605192257546 39.8907133237177
0 16 point 21.3518110305542 40.1062707887227
80 16 newpoint 21.415214 39.680342
81 16 newpoint 21.439402 39.985189
82 16 newpoint 21.434657 39.820674
83 16 newpoint 21.437906 39.821303
84 16 newpoint 21.420735 39.78167
84 17 point 21.4201297189074 39.7824337028768
83 17 point 21.4308003036784 39.8162848409183
82 17 point 21.4290855752194 39.8178468591923
81 17 point 21.4432735851109 39.977328050475
80 17 point 21.414642923002 39.6821753322322
77 17 point 21.4612225920327 39.8928126984521
76 17 point 21.3684017502832 39.977516198921
75 17 point 21.4231552415169 39.8069059759348
